Entry	Length	Entry name	Cross-reference (PDB)
P0CH75	33	VKT25_CYRHA	
P00986	57	VKT2_NAJNI	
B5KL33	83	VKT2_TROCA	
B4ESA4	83	VKT3L_BUNMU	
B5KL40	83	VKT3_AUSSU	
C0HJF3	56	VKT3_HETCR	
P0DN07	82	VKT4_ANEVI	
B5KL41	83	VKT4_AUSSU	
B5KL35	83	VKT4_CRYNI	
C0HK74	56	VKT3_HETMG	
A6MFL4	83	VKT4_DEMVE	
P16344	56	VKT4_HETCR	
B5KL28	83	VKT4_OXYMI	
B5KL30	83	VKT4_OXYSC	
Q6ITB8	83	VKT4_PSEAU	
Q90W98	83	VKT4_PSETT	
P10280	62	VKT52_ANESU	
P0DJ69	71	VKT52_CYRHA	
P0DJ70	88	VKT53_CYRHA	
Q2ES46	96	VKT5_DABRR	
P00987	85	VKTH1_BUNMU	
D2Y2F9	88	VKTH1_CYRHA	
Q9W728	85	VKTH3_BUNMU	
Q8AY44	85	VKTH7_BUNCA	
P81658	60	VKTHC_DENAN	1BF0;5YV7;
P0C1X2	86	VKTS1_CONST	1Y62;2CA7;
P20229	57	VKTTI_NAJNA	
D8KY58	82	VKT_BOMTE	
P0DJ77	88	VKT5_CYRSC	
Q1RPS9	83	VKTH5_BUNMU	
B2KTG1	83	VKT_BUNFA	
P24541	62	VKT_ERIMA	
B5KL38	83	VKT1_AUSSU	
B5KF95	83	VKT1_CRYNI	
Q9TWF8	59	VKT3_ANESU	
Q6T269	151	VKT3_BITGA	
P0DJ80	88	VKT22_CYRSC	
P0DJ45	80	VKT22_LYCMC	
B5KL39	83	VKT2_AUSSU	
C1IC53	83	VKT4_WALAE	
P00979	60	VKTH1_DENPO	1DEM;1DEN;
Q6ITC1	83	VKTH1_PSEAU	
Q0PL65	61	VKTH7_BUNMU	
Q7LZE3	59	VKTHE_DENAN	
D2Y2G0	88	VKTI1_CYRHA	
P0DMJ4	56	VKTI3_ANTFU	
D2Y2G1	88	VKTJ1_CYRHA	
P49223	89	SPIT3_HUMAN	
Q6UDR6	99	SPIT4_HUMAN	
P26228	57	SBPI_SARBU	
Q28201	351	TKDP1_BOVIN	
Q29428	265	TKDP1_SHEEP	
Q2ES50	84	VKT1_DABRR	
B2G331	78	VKT1_HETCR	
P0DMJ2	57	VKT3C_ACTEQ	
P0DJ49	59	VKT24_MESMA	
Q8T0W4	77	VKT2_PIMHY	
E7FL12	83	VKT2_PSERS	
P0DMW8	35	VKT33_ACTEQ	
B2ZBB8	88	VKT33_CYRSC	
P0DMW9	37	VKT34_ACTEQ	
P0DJ71	88	VKT35_CYRHA	
P0DMJ1	88	VKT39_CYRSC	
P0DMW7	59	VKT3B_ACTEQ	
P0DMX0	61	VKT3_ANTAF	
Q90W99	83	VKT3_PSETT	
B1B5I8	81	VKT3_STIHA	
P00992	93	VKT3_VIPAA	
P0DN08	82	VKT53_ANEVI	
B5KL36	83	VKT5_CRYNI	
Q75S49	84	VKTH4_BUNCA	
P0DMJ3	56	VKTI1_ANTFU	
D2Y2G2	88	VKTK1_CYRHA	
H6VC05	90	VKTK1_DABRR	
P48307	235	TFPI2_HUMAN	1ZR0;
Q6T6T5	90	VKT1_BITGA	
C0HK72	56	VKT1_HETMG	
A7X3V7	98	VKT1_PHIOL	
P0DJ67	88	VKT34_CYRHA	
B5KL31	83	VKT3_PSEPO	
P0DN09	82	VKT5_ANEVI	
P0DMJ5	78	VKT_HETCR	
B7S4N9	88	VKT_OXYSC	
O54819	306	TFPI1_MOUSE	
P19761	300	TFPI1_RABIT	
Q7YRQ8	234	TFPI2_BOVIN	
O35536	230	TFPI2_MOUSE	
Q28864	304	TFPI1_MACMU	
A7X3V4	90	VKT1_TELDH	
W4VSH9	176	VKT1_TRILK	
Q6ITB0	83	VKT1_TROCA	
P0DL86	56	VKT21_HETCR	
P81548	58	VKT2_ANTAF	
P0DJ75	88	VKT2_CYRSC	
Q2ES49	84	VKT2_DABRR	
P00990	60	VKT2_DABSI	
A6MFL2	83	VKT2_DEMVE	
P0DJ64	88	VKT31_CYRHA	
E7FL11	83	VKT1_PSERS	
F8J2F3	83	VKT28_DRYCN	
B2KTG2	85	VKTH1_BUNFA	
Q8AY46	85	VKTHB_BUNCA	
H6VC06	84	VKTK2_DABRR	
P0DJ82	88	VKT27_CYRSC	
B4ESA3	83	VKT2L_BUNMU	
D2Y2F3	88	VKT2_CYRHA	
C0HK73	56	VKT2_HETMG	
B5L5R7	83	VKT2_HOPST	
Q6ITC0	83	VKT2_PSEAU	
B5KL32	83	VKT3_NOTSC	
B5KL27	83	VKT3_OXYMI	
P0DJ85	88	VKT45_CYRSC	
P00980	59	VKTHA_DENAN	1DTX;
Q6ITB5	83	VKT1_OXYMI	
Q6ITB7	83	VKT1_OXYSC	
B5KF96	83	VKT2_CRYNI	
Q6ITB4	83	VKT2_OXYMI	
Q6ITB6	83	VKT2_OXYSC	
C1IC52	81	VKT2_WALAE	
A6MFL3	83	VKT3_DEMVE	
P00989	85	VKTH2_BUNMU	1BUN;
Q75S50	85	VKTH3_BUNCA	
Q1RPT0	85	VKTH4_BUNMU	
D2Y2Q2	88	VKTM1_CYRHA	
D2Y2Q5	88	VKTN1_CYRHA	
D2Y2Q6	88	VKTO1_CYRHA	
D2Y2Q7	88	VKTP1_CYRHA	
D2Y2Q8	88	VKTQ1_CYRHA	
D2Y2Q9	88	VKTR1_CYRHA	
Q7LZS8	59	VKTRE_DENAN	
Q02445	302	TFPI1_RAT	
B5KF94	83	VKT1_HOPST	
Q9TWF9	58	VKT2_ANESU	
Q6T6S5	90	VKT2_BITGA	
B5G6G6	83	VKT2_PSEPO	
Q90WA0	83	VKT2_PSETT	
P81129	55	VKT2_STIHL	
P0DJ50	81	VKT31_MESMA	
P0DMW6	59	VKT3A_ACTEQ	
B5KL34	83	VKT3_CRYNI	
Q2ES48	84	VKT3_DABRR	
B5KL29	83	VKT3_OXYSC	
Q6ITB9	83	VKT3_PSEAU	
E7FL13	83	VKT3_PSERS	
C1IC51	81	VKT3_WALAE	
P0DJ84	88	VKT40_CYRSC	
P0DJ68	88	VKT45_CYRHA	
D2Y2F5	88	VKT4_CYRHA	
P0DJ76	88	VKT4_CYRSC	
Q2ES47	84	VKT4_DABRR	
Q7T2Q6	83	VKTHB_BUNFL	
P00983	57	VKTHB_DENPO	
A6MFL1	83	VKT1_DEMVE	
Q6ITB3	83	VKT1_NOTSC	
Q90WA1	83	VKT1_PSETT	3BYB;3D65;3UIR;
P31713	55	VKT1_STIHL	1SHP;3M7Q;3OFW;3T62;3UOU;
P00991	90	VKT1_VIPAA	
C1IC50	81	VKT1_WALAE	
P0DJ46	80	VKT21_LYCMC	2M01;
P0DJ48	59	VKT23_LYCMC	
P0DJ81	88	VKT24_CYRSC	
P00985	57	VKT2_HEMHA	
C0HJF4	56	VKT2_HETCR	
Q6ITB2	83	VKT2_NOTSC	
A6MGX9	83	VKT5_DEMVE	
C0HJU6	56	VKT5_HETCR	
P0DN20	80	VKTG_ANEVI	
B2KTG3	85	VKTH2_BUNFA	
Q1RPS8	83	VKTH6_BUNMU	
D2Y2Q1	88	VKTL1_CYRHA	
B2BS84	252	VKT_AUSLA	
I2G9B4	95	VKT_MACLN	
Q5ZPJ7	81	VKT_NAJAT	2M99;
Q6ITB1	83	VKT_PSEPO	
P0DN17	82	VKTD_ANEVI	
B2ZBC0	88	VKTG9_CYRSC	
Q03610	1561	YN81_CAEEL	
F8J2F6	83	VKT18_DRYCN	
P0DN06	82	VKT1A_ANEVI	
D2Y488	78	VKT1A_CONCL	
P68425	88	VKT1A_CYRSC	2JOT;
B4ESA2	82	VKT1L_BUNMU	
Q9TWG0	58	VKT1_ANESU	
P81547	58	VKT1_ANTAF	
B5L5Q6	79	VKT5_OXYMI	
A8Y7P3	84	VKTB3_DABSI	
A8Y7P4	84	VKTB4_DABSI	
A8Y7P5	90	VKTB5_DABSI	
A8Y7P6	84	VKTB6_DABSI	
A8Y7P0	84	VKTB7_DABSI	
P0DN15	87	VKTB_ANEVI	
Q8AY42	83	VKTB_BUNCA	
D2Y2F4	88	VKTC1_CYRHA	
A8Y7N4	90	VKTC1_DABSI	
A5X2X1	152	VKT_SISCA	
A8Y7N6	84	VKTC3_DABSI	
A8Y7N7	90	VKTC4_DABSI	
P0DKL8	66	VKT_VIPRE	
P19859	57	VKTCI_NAJNA	
P82966	83	VKTCI_OPHHA	
P00984	59	VKTE_DENPO	
D2Y2F8	88	VKTG1_CYRHA	
Q8IUA0	241	WFDC8_HUMAN	
Q08E66	574	WFKN2_BOVIN	
Q4KUS1	273	WFDC8_MOUSE	
Q8TEU8	576	WFKN2_HUMAN	
Q8R0S6	552	WFKN1_MOUSE	
Q8AY45	85	VKBH2_BUNCA	
Q9BQY6	131	WFDC6_HUMAN	
F6ULY1	148	WFC6B_MOUSE	
Q6NUX0	558	WFKN_DANRE	
P0C5J5	552	WFKN1_RAT	
Q96NZ8	548	WFKN1_HUMAN	2DDI;2DDJ;
Q11101	176	YL15_CAEEL	
B2ZBB6	88	VKT11_CYRSC	
P0C8W3	88	VKT11_HOFGE	
P0DMJ6	59	VKT12_DENAN	
P0DJ47	70	VKT12_MESMA	
P0DJ79	88	VKT13_CYRSC	
F8J2F4	83	VKT16_DRYCN	
P0DJ66	76	VKT17_CYRHA	
Q589G4	75	VKT19_ANOSM	
D2Y489	60	VKT1B_CONCL	
D2Y490	60	VKT1C_CONCL	
D2Y491	60	VKT1D_CONCL	
P86862	65	VKT1_ANTEL	
Q8T3S7	80	VKT1_ARAVE	
B5L5Q8	83	VKT5_PSEAU	
Q90W97	83	VKT5_PSETT	
P0DJ72	88	VKT68_CYRHA	
P0DN10	82	VKT6_ANEVI	
B5KL37	83	VKT6_CRYNI	
P0DJ78	88	VKT6_CYRSC	
C0HJU7	56	VKT6_HETCR	
Q90W96	83	VKT6_PSETT	
P0DJ73	88	VKT74_CYRHA	
P0DJ74	71	VKT76_CYRHA	
P0DN11	82	VKT7_ANEVI	
P0DJ65	88	VKT7_CYRHA	
A6MGY1	83	VKT7_DEMVE	
B5L5Q1	83	VKT7_PSETT	
F8J2F5	83	VKT87_DRYCN	
P0DN12	82	VKT8_ANEVI	
P0DN13	82	VKT9_ANEVI	
P25660	65	VKT9_BUNFA	1JC6;
D2Y2C2	88	VKTA1_CYRHA	
P0DN14	82	VKTA_ANEVI	
Q8AY43	83	VKTA_BUNCA	
G9I929	84	VKTA_MICTN	4NTW;4NTX;4NTY;
P0CY85	88	VKTB1_CONBU	
A8Y7P1	84	VKTB1_DABSI	
A8Y7P2	84	VKTB2_DABSI	
P0DN16	87	VKTC_ANEVI	
Q8AY41	83	VKTC_BUNCA	
Q3UW55	136	WFC6A_MOUSE	
P0CAR0	35	VKTG1_MICPY	
B2ZBB9	88	VKTG6_CYRSC	
B6RLX2	83	VKTCT_OPHHA	
D2Y2F6	88	VKTE1_CYRHA	
P0DN18	82	VKTE_ANEVI	
D2Y2F7	88	VKTF1_CYRHA	
P0DN19	72	VKTF_ANEVI	
P81902	55	CSTI_BOMMO	
Q8WPI3	142	BOOG2_RHIMP	
Q8WPI2	142	BOOH2_RHIMP	2ODY;
D3GGZ8	195	BLI5_HAECO	
P04815	100	BPT2_BOVIN	
P29216	76	A4_MACMU	
P81162	69	CRPTI_RHIMP	
P15989	3137	CO6A3_CHICK	
Q2UY09	1125	COSA1_HUMAN	
Q2UY11	1141	COSA1_MOUSE	
O62247	202	BLI5_CAEEL	
P83606	291	BMTI6_RHIMP	
P83609	121	BMTIA_RHIMP	
Q29143	102	ELAC_TRIVU	
P16044	61	IBPI_TACTR	
P00976	67	IBPC_BOVIN	
P00993	110	IBP_CARCR	
P62756	123	IATR_CAPHI	
P04365	125	IATR_HORSE	
P62757	123	IATR_SHEEP	
P00975	60	IBPS_BOVIN	
P26226	56	HTIA_MANSE	
P26227	53	HTIB_MANSE	
P11424	63	IMAP_DROFU	
O62845	83	ELAC_MACEU	
Q9BDL1	133	EPPI_MACMU	
Q9DA01	134	EPPI_MOUSE	
D4A2Z2	134	EPPI_RAT	
Q9D263	159	SPIT4_MOUSE	
Q9R097	507	SPIT1_MOUSE	
Q9WU03	252	SPIT2_MOUSE	
O95428	1278	PPN_HUMAN	
Q9EPX2	1280	PPN_MOUSE	
Q29100	122	UPTI_PIG	
A8Y7N5	84	VKTC2_DABSI	
C0LNR2	77	VKT_VESBI	
E5AJX3	95	VKT_VIPBN	
A8Y7N8	90	VKTC5_DABSI	
A8Y7N9	96	VKTC6_DABSI	
P00994	58	ISIK_HELPO	
B5L5R1	83	IVBI5_PSEPO	
B5L5M7	84	IVBI_AUSSU	
P86964	157	KCP3_PINMA	
H2A0N5	157	KCP3_PINMG	
P10832	62	ISC2_BOMMO	
P10831	62	ISC1_BOMMO	
B5L5Q3	79	IVBS5_OXYSC	
P81906	52	ISPI2_GALME	
A0A1Z0YU59	57	MAMB1_DENAN	5M4V;
B5L5R6	83	IVBI3_HOPST	
B5L5R4	83	IVBI4_NOTSC	
B5L5R0	83	IVBI4_PSEPO	
P82968	197	MCPI_MELCP	
P86959	138	KCP1_PINMA	
H2A0M2	138	KCP1_PINMG	
P86963	337	KCP2_PINMA	
H2A0N1	141	KCP2_PINMG	
H2A0N9	198	KCP4_PINMG	
H2A0P0	182	KCP5_PINMG	
P86733	126	KCP_HALAI	
P07481	63	ISC3_BOMMO	
